CatBoost,KNN,LR,RF,SVM
0.666666667,0.674342105,0.6443769,0.665653495,0.697508897
0.659279778,0.714801444,0.662460568,0.671974522,0.7
0.676966292,0.707865169,0.63372093,0.693009119,0.696
0.676923077,0.734126984,0.65497076,0.674496644,0.701960784
0.655384615,0.685606061,0.65,0.673202614,0.682926829
0.665662651,0.720472441,0.652307692,0.700996678,0.714285714
0.652173913,0.721374046,0.604105572,0.667711599,0.68359375
0.660660661,0.66539924,0.646017699,0.676100629,0.681481481
0.686956522,0.712802768,0.670694864,0.696485623,0.7421875
0.671511628,0.682926829,0.650837989,0.660436137,0.694980695
0.6918429,0.710622711,0.652941176,0.68013468,0.69348659
0.64673913,0.697508897,0.618343195,0.642857143,0.696629213
0.687861272,0.731343284,0.64738292,0.704615385,0.729007634
0.663608563,0.687258687,0.664634146,0.680412371,0.686956522
0.651832461,0.697508897,0.659442724,0.659442724,0.664233577
0.689552239,0.727941176,0.666666667,0.691525424,0.692307692
0.696048632,0.721804511,0.645348837,0.696319018,0.716
0.661157025,0.671698113,0.67251462,0.663608563,0.68359375
0.671597633,0.702797203,0.634831461,0.656050955,0.71541502
0.636842105,0.692592593,0.631728045,0.67761194,0.659340659
0.712643678,0.724528302,0.634782609,0.707462687,0.728
0.653061224,0.718518519,0.640718563,0.679365079,0.717557252
0.627968338,0.626811594,0.636627907,0.667731629,0.640926641
0.668571429,0.710144928,0.666666667,0.70096463,0.727626459
0.710914454,0.713207547,0.655688623,0.696245734,0.686746988
0.677514793,0.721568627,0.6918429,0.704697987,0.669387755
0.652661064,0.682926829,0.603988604,0.679738562,0.671378092
0.621253406,0.665505226,0.647975078,0.638728324,0.703571429
0.6918429,0.701195219,0.643678161,0.673267327,0.703703704
0.705539359,0.730769231,0.651651652,0.716129032,0.721311475
0.684848485,0.688715953,0.671732523,0.685897436,0.670731707
0.64516129,0.694915254,0.648414986,0.650943396,0.693430657
0.678062678,0.721611722,0.659638554,0.697160883,0.689655172
0.675840979,0.693430657,0.653614458,0.679365079,0.676855895
0.674351585,0.696153846,0.602898551,0.66779661,0.733590734
0.698550725,0.710037175,0.661538462,0.675078864,0.733870968
0.674157303,0.694656489,0.653846154,0.67752443,0.698795181
0.64,0.694980695,0.655976676,0.653968254,0.687022901
0.717647059,0.73992674,0.643712575,0.711598746,0.72244898
0.645070423,0.653710247,0.623229462,0.653721683,0.665413534
0.671309192,0.664310954,0.657575758,0.64375,0.647302905
0.673529412,0.692883895,0.634615385,0.663366337,0.72972973
0.689458689,0.745173745,0.647230321,0.689320388,0.71372549
0.662952646,0.721014493,0.662576687,0.671779141,0.671480144
0.686084142,0.712177122,0.647058824,0.697594502,0.7
0.707246377,0.731884058,0.626822157,0.719354839,0.744360902
0.659090909,0.721254355,0.669590643,0.664576803,0.704280156
0.655882353,0.668918919,0.646341463,0.664634146,0.673076923
0.701183432,0.695945946,0.646551724,0.696969697,0.692857143
0.65497076,0.702702703,0.640625,0.669117647,0.705882353
0.686956522,0.697916667,0.647761194,0.660436137,0.705645161
0.636856369,0.706959707,0.636363636,0.687134503,0.712062257
0.67638484,0.716845878,0.67032967,0.682098765,0.662835249
0.637931034,0.663082437,0.62654321,0.651612903,0.661654135
0.695121951,0.74248927,0.635568513,0.734545455,0.739910314
0.678571429,0.687096774,0.623955432,0.667647059,0.689285714
0.68,0.721374046,0.628289474,0.687096774,0.697674419
0.685131195,0.699619772,0.666666667,0.707641196,0.690082645
0.691131498,0.695970696,0.665697674,0.66442953,0.684
0.632183908,0.703422053,0.646723647,0.656765677,0.697211155
0.647398844,0.70890411,0.660766962,0.688679245,0.685185185
0.667582418,0.703007519,0.667701863,0.67961165,0.72265625
0.718562874,0.720306513,0.628398792,0.686335404,0.713692946
0.706060606,0.71031746,0.673410405,0.726962457,0.710526316
0.649717514,0.695035461,0.615606936,0.637223975,0.667924528
0.685236769,0.72962963,0.648318043,0.700617284,0.736842105
0.653061224,0.6996337,0.653061224,0.676190476,0.65530303
0.656593407,0.665540541,0.610119048,0.641337386,0.661417323
0.664756447,0.696750903,0.656976744,0.68370607,0.682539683
0.670846395,0.702702703,0.672897196,0.690391459,0.728971963
0.662921348,0.683848797,0.629179331,0.675324675,0.667924528
0.651098901,0.74,0.645892351,0.676567657,0.726141079
0.672463768,0.723247232,0.670769231,0.648387097,0.700389105
0.698507463,0.731060606,0.637982196,0.713333333,0.725490196
0.657608696,0.666666667,0.663690476,0.641791045,0.653571429
0.6875,0.741803279,0.652298851,0.711409396,0.71659919
0.624293785,0.681818182,0.636923077,0.643678161,0.696153846
0.68128655,0.707407407,0.66969697,0.697452229,0.694980695
0.618918919,0.685185185,0.64619883,0.621118012,0.681818182
0.696319018,0.69924812,0.650943396,0.674740484,0.694444444
0.643874644,0.664359862,0.66969697,0.648902821,0.667896679
0.689349112,0.725490196,0.64469914,0.693103448,0.691666667
0.661064426,0.685121107,0.63803681,0.675438596,0.663043478
0.690851735,0.742857143,0.62962963,0.697278912,0.716666667
0.639889197,0.674740484,0.646575342,0.641104294,0.705660377
0.657971014,0.694444444,0.659442724,0.682539683,0.692607004
0.685459941,0.72243346,0.657142857,0.692556634,0.717842324
0.645348837,0.656603774,0.677115987,0.640378549,0.643137255
0.668539326,0.701754386,0.621776504,0.701639344,0.740310078
0.663888889,0.717391304,0.633522727,0.692307692,0.702702703
0.643044619,0.672240803,0.670967742,0.654761905,0.68683274
0.679886686,0.689138577,0.631268437,0.691131498,0.669117647
0.668571429,0.709433962,0.633136095,0.676666667,0.728033473
0.674772036,0.747826087,0.627118644,0.683544304,0.75
0.675675676,0.715328467,0.68452381,0.652027027,0.68442623
0.630319149,0.695364238,0.648093842,0.670807453,0.692857143
0.652519894,0.657039711,0.660818713,0.68370607,0.665384615
0.685393258,0.737827715,0.68597561,0.687697161,0.742738589
0.669616519,0.71042471,0.633333333,0.667774086,0.658536585
0.662756598,0.706959707,0.612244898,0.666666667,0.705179283
0.686781609,0.694545455,0.668693009,0.69023569,0.651162791
0.680722892,0.749034749,0.631147541,0.705882353,0.733870968
0.668508287,0.702205882,0.653125,0.705882353,0.686046512
0.641025641,0.703971119,0.648044693,0.701694915,0.729508197
0.655270655,0.676806084,0.655172414,0.633846154,0.658823529
0.655647383,0.692857143,0.645892351,0.681672026,0.669172932
0.705357143,0.754863813,0.648093842,0.721682848,0.732283465
0.680722892,0.730337079,0.657817109,0.661490683,0.665254237
0.618644068,0.684027778,0.656534954,0.665615142,0.711111111
0.655976676,0.723880597,0.628834356,0.668693009,0.698795181
0.660968661,0.697080292,0.664615385,0.678343949,0.695833333
0.680672269,0.695340502,0.648571429,0.685064935,0.693140794
0.684210526,0.717054264,0.636085627,0.683673469,0.696202532
0.636103152,0.670250896,0.642011834,0.639053254,0.692883895
0.665653495,0.703422053,0.655172414,0.661442006,0.682170543
0.640540541,0.655677656,0.688385269,0.662379421,0.678571429
0.692771084,0.728744939,0.620178042,0.721428571,0.731404959
0.669491525,0.694736842,0.656534954,0.673469388,0.682539683
0.686648501,0.716312057,0.631123919,0.687878788,0.727969349
0.670769231,0.701612903,0.644578313,0.658536585,0.669527897
0.657754011,0.662295082,0.649275362,0.66966967,0.672727273
0.689458689,0.684410646,0.632835821,0.680781759,0.697841727
0.713395639,0.752941176,0.667731629,0.742857143,0.781818182
0.637393768,0.662116041,0.64640884,0.640378549,0.637362637
0.656716418,0.721568627,0.659574468,0.680412371,0.71314741
0.66572238,0.711267606,0.619469027,0.697674419,0.707627119
0.688622754,0.724137931,0.660818713,0.687096774,0.714285714
0.703125,0.708333333,0.642405063,0.676470588,0.689795918
0.638235294,0.715909091,0.671428571,0.684039088,0.685920578
0.667574932,0.683848797,0.644776119,0.653250774,0.661654135
0.651917404,0.65917603,0.652694611,0.651515152,0.662650602
0.692082111,0.739463602,0.635057471,0.703703704,0.713675214
0.667590028,0.716911765,0.686335404,0.693069307,0.70610687
0.673352436,0.70609319,0.62195122,0.666666667,0.7
0.665706052,0.694444444,0.651026393,0.659574468,0.670068027
0.693009119,0.684210526,0.666666667,0.686666667,0.720149254
0.677325581,0.69348659,0.647058824,0.6875,0.694915254
0.653521127,0.698181818,0.654545455,0.658146965,0.657480315
0.680473373,0.720306513,0.626373626,0.690322581,0.704347826
0.680216802,0.704081633,0.640883978,0.677514793,0.691756272
0.675213675,0.709677419,0.675840979,0.670846395,0.684647303
0.689759036,0.710037175,0.647928994,0.704225352,0.70703125
0.671309192,0.707641196,0.639534884,0.691588785,0.677902622
0.66568915,0.665467626,0.62464986,0.658146965,0.683206107
0.69121813,0.714814815,0.659305994,0.685534591,0.698473282
0.66568915,0.71641791,0.652567976,0.723905724,0.679841897
0.682352941,0.669117647,0.619195046,0.663492063,0.701195219
0.69047619,0.696721311,0.658959538,0.684745763,0.674329502
0.657575758,0.705035971,0.673590504,0.693661972,0.673228346
0.661417323,0.691176471,0.65129683,0.670694864,0.6875
0.658119658,0.705426357,0.667701863,0.681114551,0.709016393
0.646723647,0.658362989,0.644628099,0.648648649,0.679104478
0.685483871,0.709342561,0.608433735,0.672025723,0.712686567
0.67752443,0.730923695,0.676646707,0.725274725,0.708520179
0.656338028,0.703832753,0.63803681,0.725239617,0.696356275
0.636363636,0.711382114,0.645348837,0.664495114,0.710638298
0.672316384,0.693379791,0.642011834,0.68338558,0.699275362
0.678678679,0.739299611,0.665625,0.690322581,0.716
0.654986523,0.69023569,0.646884273,0.668621701,0.688461538
0.640449438,0.702290076,0.656976744,0.689768977,0.675
0.662011173,0.748987854,0.628342246,0.675585284,0.702380952
0.686956522,0.723735409,0.640243902,0.680645161,0.693277311
0.646551724,0.668965517,0.635014837,0.681208054,0.672131148
0.684848485,0.667910448,0.645259939,0.681114551,0.721568627
0.67768595,0.674657534,0.674698795,0.666666667,0.661596958
0.652298851,0.72556391,0.625360231,0.70977918,0.736625514
0.655882353,0.684782609,0.620895522,0.64516129,0.69379845
0.677419355,0.676975945,0.661202186,0.689320388,0.669117647
0.687878788,0.746987952,0.677316294,0.709219858,0.703862661
0.670422535,0.672661871,0.656441718,0.643292683,0.73046875
0.690184049,0.704280156,0.657060519,0.675496689,0.663934426
0.672316384,0.6875,0.672566372,0.621301775,0.69379845
0.674486804,0.679012346,0.614730878,0.668874172,0.677290837
0.672316384,0.672794118,0.671641791,0.672354949,0.670542636
0.671348315,0.763837638,0.64495114,0.697530864,0.736462094
0.654390935,0.670212766,0.609970674,0.658536585,0.643939394
0.663663664,0.679104478,0.667630058,0.698996656,0.695833333
0.656593407,0.730496454,0.66163142,0.721518987,0.707224335
0.706790123,0.694117647,0.668711656,0.6816609,0.716101695
0.64902507,0.706766917,0.628654971,0.670886076,0.704280156
0.646892655,0.677655678,0.64057971,0.665634675,0.656903766
0.67638484,0.708955224,0.640226629,0.684027778,0.68442623
0.665730337,0.692567568,0.637393768,0.680851064,0.719858156
0.667621777,0.697416974,0.65830721,0.691525424,0.711297071
0.685878963,0.700389105,0.657492355,0.675159236,0.679245283
0.682080925,0.710144928,0.643292683,0.692063492,0.697211155
0.696696697,0.737051793,0.657817109,0.6910299,0.688976378
0.661111111,0.669014085,0.675675676,0.655976676,0.64874552
0.680232558,0.732,0.633027523,0.695121951,0.744855967
0.660660661,0.653136531,0.630853994,0.689655172,0.680327869
0.65625,0.689530686,0.678571429,0.690625,0.68359375
0.662011173,0.711191336,0.649717514,0.685185185,0.685606061
0.676136364,0.696245734,0.631578947,0.680473373,0.676579926
0.675925926,0.697318008,0.632596685,0.684587814,0.693548387
0.707462687,0.701550388,0.655688623,0.692307692,0.701612903
0.690544413,0.73255814,0.684210526,0.668831169,0.71042471
0.664788732,0.669144981,0.689458689,0.669781931,0.67755102
0.673469388,0.703571429,0.610795455,0.717105263,0.698841699
0.659025788,0.701438849,0.643076923,0.651757188,0.72265625
0.673529412,0.717948718,0.643712575,0.702970297,0.738461538
0.692082111,0.703180212,0.659824047,0.692307692,0.702290076
0.64109589,0.670250896,0.641337386,0.657657658,0.695488722
0.685628743,0.709558824,0.625730994,0.681672026,0.684981685
0.679525223,0.693726937,0.646341463,0.680645161,0.68852459
0.673529412,0.698113208,0.673529412,0.681967213,0.711206897
0.690265487,0.719101124,0.632596685,0.668789809,0.698412698
0.641833811,0.673553719,0.634674923,0.656346749,0.718367347
0.668604651,0.663299663,0.671875,0.671779141,0.65480427
0.670391061,0.736641221,0.673529412,0.681208054,0.702702703
0.68914956,0.743295019,0.638235294,0.675159236,0.701680672
0.642473118,0.684931507,0.662824207,0.674772036,0.64893617
0.668639053,0.718367347,0.646341463,0.694736842,0.709543568
0.658959538,0.709558824,0.670623145,0.715753425,0.718631179
0.694117647,0.693661972,0.614958449,0.686708861,0.707509881
0.673295455,0.682656827,0.649842271,0.65615142,0.686746988
0.655913978,0.708053691,0.624633431,0.715210356,0.722222222
0.67673716,0.711382114,0.640718563,0.689189189,0.717131474
0.654069767,0.667844523,0.652694611,0.660130719,0.676348548
0.667597765,0.665492958,0.657060519,0.651785714,0.696153846
0.652542373,0.712643678,0.64516129,0.65830721,0.714876033
0.675362319,0.681818182,0.634877384,0.681355932,0.68722467
0.680115274,0.714285714,0.659574468,0.659305994,0.68
0.673024523,0.725925926,0.669781931,0.698757764,0.705882353
0.668674699,0.66796875,0.66091954,0.68641115,0.679245283
0.656534954,0.692857143,0.629283489,0.657807309,0.703125
0.687861272,0.686619718,0.646376812,0.657407407,0.675471698
0.630630631,0.688461538,0.655270655,0.648464164,0.675471698
0.690140845,0.728813559,0.627717391,0.662613982,0.689655172
0.689440994,0.70703125,0.656050955,0.685430464,0.708333333
0.655367232,0.675675676,0.678456592,0.67781155,0.69921875
0.676829268,0.727659574,0.637982196,0.664383562,0.690082645
0.66180758,0.681978799,0.659701493,0.664473684,0.6640625
0.674094708,0.696750903,0.630252101,0.698360656,0.690196078
0.674418605,0.691489362,0.646687697,0.666666667,0.700787402
0.667567568,0.701754386,0.679878049,0.648148148,0.708812261
0.655589124,0.718487395,0.673716012,0.668896321,0.70464135
0.657060519,0.703180212,0.654761905,0.704545455,0.708
0.684813754,0.678082192,0.644444444,0.670769231,0.712177122
0.655072464,0.663157895,0.634560907,0.64527027,0.657794677
0.665714286,0.741176471,0.637681159,0.691082803,0.737704918
0.667621777,0.700729927,0.669724771,0.649842271,0.67578125
0.681681682,0.721189591,0.681114551,0.71043771,0.714285714
0.703389831,0.703007519,0.628654971,0.655589124,0.746153846
0.652173913,0.690721649,0.632768362,0.707792208,0.69921875
0.693498452,0.7,0.636904762,0.672413793,0.66023166
0.678977273,0.71031746,0.656441718,0.685358255,0.694444444
0.684507042,0.717241379,0.625748503,0.688622754,0.709543568
0.704022989,0.725352113,0.64469914,0.696202532,0.729007634
